epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,6445.73,1.26179,0.48966,0.00582,0.88869,0.90215,0.93314,0.5565,1.51311,0.59039,0.00761,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6550.87,1.2533,0.50656,0.00583,0.91453,0.89077,0.93749,0.56161,1.50539,0.59538,0.00739,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6655.95,1.2502,0.49144,0.00552,0.89186,0.89736,0.93187,0.55764,1.50604,0.58273,0.00753,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6761.05,1.21718,0.46998,0.00549,0.92204,0.8936,0.94303,0.57105,1.4817,0.57512,0.00734,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6866.28,1.23047,0.47297,0.00558,0.8858,0.90301,0.93732,0.55615,1.49678,0.63139,0.00741,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6970.89,1.23062,0.48257,0.00559,0.90071,0.90301,0.93339,0.54962,1.51657,0.5684,0.00754,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7076.36,1.24302,0.47154,0.00558,0.88924,0.9049,0.93288,0.5636,1.49459,0.58721,0.00744,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7181.46,1.23339,0.48181,0.00559,0.89078,0.91431,0.93228,0.56132,1.49872,0.60168,0.00737,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7286.99,1.20504,0.4786,0.00552,0.92209,0.89156,0.93509,0.5579,1.47195,0.57779,0.00728,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7392.16,1.20196,0.48621,0.00551,0.89455,0.90264,0.93667,0.56551,1.47109,0.6011,0.00731,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7496.92,1.19087,0.44469,0.00543,0.89949,0.91337,0.93732,0.56022,1.5206,0.58747,0.00753,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7602.02,1.19288,0.46167,0.00549,0.89627,0.91123,0.93041,0.55471,1.5198,0.60243,0.00746,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7707.31,1.20395,0.47761,0.00546,0.89964,0.90314,0.92961,0.55507,1.48192,0.60169,0.00729,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7812.08,1.17417,0.43858,0.00583,0.91119,0.89831,0.93188,0.56178,1.47488,0.56793,0.00735,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7918.34,1.1823,0.45119,0.00542,0.90118,0.90019,0.93171,0.56938,1.47998,0.59191,0.00737,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,8024.15,1.16839,0.44874,0.00534,0.88774,0.90113,0.93748,0.56372,1.45484,0.59353,0.0072,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,8128.85,1.17661,0.45494,0.00551,0.90324,0.88777,0.93185,0.55913,1.47241,0.65176,0.0073,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,8234.11,1.16737,0.45393,0.00546,0.90281,0.90395,0.93077,0.56001,1.49048,0.56642,0.00736,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,8339.25,1.15613,0.46405,0.00526,0.89823,0.88924,0.92592,0.55425,1.50395,0.58702,0.00733,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,8445.3,1.13754,0.43785,0.00514,0.90594,0.88873,0.92953,0.56363,1.49994,0.60911,0.00732,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8550.36,1.14829,0.46905,0.00532,0.90922,0.87759,0.92621,0.55555,1.50102,0.58902,0.00733,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8655.81,1.14436,0.44877,0.00526,0.89708,0.89462,0.93103,0.55694,1.45743,0.60495,0.00714,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8760.62,1.11378,0.45852,0.00507,0.89679,0.89548,0.9331,0.56357,1.48846,0.57242,0.00728,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,8865.29,1.11501,0.43507,0.00513,0.89689,0.89454,0.93364,0.56146,1.48165,0.59336,0.00719,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,8970.39,1.10253,0.44048,0.00513,0.90275,0.90301,0.93255,0.56167,1.49681,0.62302,0.00726,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,9075.68,1.09555,0.42599,0.00499,0.88782,0.91149,0.93079,0.56209,1.47265,0.61219,0.00714,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,9180.91,1.11358,0.43172,0.00512,0.89364,0.90987,0.93226,0.56485,1.49589,0.62641,0.00718,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,9286.18,1.09583,0.43185,0.00513,0.90188,0.89145,0.92943,0.56436,1.49179,0.5936,0.00723,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,9390.88,1.08774,0.41001,0.00496,0.91169,0.89437,0.93267,0.56029,1.49666,0.58427,0.00727,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,9495.89,1.08622,0.41345,0.00507,0.92509,0.88889,0.93557,0.56732,1.47991,0.55112,0.00718,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9600.82,1.08829,0.40076,0.00501,0.91152,0.88983,0.9305,0.56552,1.49146,0.56443,0.00717,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9706.21,1.0846,0.4327,0.00497,0.9021,0.90113,0.92885,0.56089,1.48045,0.57302,0.00725,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9810.94,1.07189,0.4237,0.00492,0.9152,0.87947,0.92821,0.56195,1.46717,0.60027,0.00718,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,9915.95,1.07361,0.41857,0.00484,0.91399,0.90019,0.92966,0.56618,1.49559,0.60397,0.00723,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,10020.8,1.084,0.42871,0.00505,0.90439,0.89266,0.9283,0.55857,1.49951,0.63145,0.00727,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,10125.4,1.05498,0.42105,0.00484,0.89624,0.89548,0.92639,0.56109,1.50206,0.64115,0.00716,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,10230.2,1.05739,0.41085,0.00498,0.90756,0.8875,0.9209,0.55315,1.5143,0.59044,0.00724,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,10334.9,1.0448,0.42611,0.00477,0.89725,0.89624,0.92831,0.56123,1.49559,0.57396,0.00718,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,10440,1.04428,0.40375,0.00504,0.91106,0.88606,0.92807,0.55723,1.50656,0.60433,0.00724,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,10544.9,1.04073,0.41888,0.00497,0.88667,0.89873,0.92909,0.56064,1.49265,0.60493,0.00723,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,10649.9,1.03112,0.40653,0.00477,0.90519,0.89001,0.9301,0.55941,1.501,0.57575,0.00717,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,10754.5,1.02228,0.40079,0.00471,0.89658,0.90584,0.93089,0.55857,1.50736,0.59893,0.00725,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
