epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6104.65,1.17222,0.48324,0.00453,0.89624,0.91138,0.94729,0.61499,1.2666,0.49943,0.00665,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,6246.18,1.15999,0.47678,0.00452,0.92858,0.8836,0.94747,0.62153,1.26143,0.47668,0.00659,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,6387.48,1.16942,0.47175,0.00449,0.9082,0.89642,0.94517,0.61588,1.27492,0.49069,0.0067,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,6528.45,1.15564,0.47612,0.00439,0.92276,0.8928,0.94851,0.6201,1.26401,0.47832,0.00658,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,6669.02,1.15238,0.46969,0.00441,0.91228,0.90608,0.94575,0.61472,1.2678,0.49517,0.00664,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,6809.8,1.14025,0.46702,0.00443,0.92465,0.88029,0.94538,0.62131,1.26312,0.46947,0.00657,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,6950.65,1.1395,0.46789,0.00444,0.90776,0.89616,0.94926,0.62219,1.26506,0.48003,0.00666,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,7091.9,1.15301,0.4773,0.00448,0.91885,0.89119,0.94774,0.62046,1.27753,0.47458,0.00681,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,7232.51,1.17861,0.48621,0.00456,0.91984,0.89352,0.94908,0.61862,1.27059,0.47381,0.00672,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7373.5,1.16712,0.48747,0.00463,0.91198,0.89768,0.94562,0.62267,1.25513,0.47339,0.00647,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,7514.3,1.16056,0.48054,0.00452,0.91074,0.89418,0.94507,0.62414,1.2639,0.4788,0.00663,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,7655.99,1.16629,0.49043,0.00448,0.90188,0.89367,0.94381,0.61619,1.26465,0.50002,0.0065,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,7796.79,1.17075,0.48182,0.00453,0.90166,0.90939,0.94847,0.62097,1.26892,0.47322,0.00668,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,7938.97,1.17703,0.49899,0.00448,0.91105,0.90542,0.94328,0.61888,1.2601,0.48151,0.00662,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,8079.8,1.16714,0.49217,0.00457,0.90313,0.8955,0.94691,0.61871,1.25989,0.47839,0.00655,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,179.988,1.15623,0.47167,0.0045,0.90505,0.90153,0.94707,0.61775,1.25237,0.50901,0.00653,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,322.497,1.15823,0.47981,0.00446,0.9067,0.89947,0.94704,0.6132,1.25442,0.48787,0.00652,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,464.239,1.16296,0.47882,0.00456,0.90711,0.91072,0.94937,0.62358,1.25902,0.46521,0.00656,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,606.838,1.15283,0.48764,0.00436,0.92427,0.89484,0.947,0.6194,1.25835,0.4716,0.0065,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,748.617,1.14892,0.47951,0.0044,0.90835,0.90455,0.9423,0.61898,1.26087,0.48086,0.00654,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,891.712,1.16269,0.4944,0.00444,0.9162,0.90079,0.94754,0.61902,1.26146,0.4823,0.00662,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1034.74,1.14917,0.47958,0.00442,0.89869,0.90741,0.94775,0.62349,1.26217,0.4841,0.00667,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1176.5,1.14707,0.48483,0.00441,0.92199,0.89947,0.9478,0.61828,1.26255,0.46776,0.00661,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,1320.16,1.1646,0.47879,0.00451,0.9201,0.90212,0.94715,0.62251,1.26262,0.47434,0.00659,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1463.01,1.15579,0.47239,0.00443,0.91529,0.89881,0.9446,0.61825,1.26477,0.48423,0.00658,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,1605.22,1.15296,0.4831,0.00446,0.91849,0.90178,0.95047,0.62361,1.26076,0.48507,0.00656,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,1748.15,1.14196,0.48537,0.00448,0.91339,0.90542,0.9453,0.62275,1.25315,0.48001,0.00651,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,1889.9,1.15002,0.46578,0.00435,0.91566,0.90468,0.94788,0.62456,1.2552,0.46662,0.00657,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2035.92,1.12658,0.46712,0.00437,0.91043,0.9008,0.94495,0.62177,1.25954,0.47599,0.00659,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
